"表題：","都道府県・市区町村のすがた（社会・人口統計体系）"
"公開日：","2025年06月20日"

"***","調査又は集計していないもの"
"-","データが得られないもの"
"X","数値が秘匿されているもの"

"","","","","/項目 コード","A1102","","A110201","","A110202","","A141501","","A141502","","A141601","","A141602","","A141701","","A141702","","A141801","","A141802","","A191003","","A191005","","A191007","","A5103","","A5104","","A7101","","I5101","","I510120","","I510150","","I5102","","I510201","","J230113","","J230133","","J230223",""
"調査年 コード","調査年","地域 コード","地域","/項目","A1102_日本人人口【人】","注釈","A110201_日本人人口（男）【人】","注釈","A110202_日本人人口（女）【人】","注釈","A141501_40歳以上人口（男）【人】","注釈","A141502_40歳以上人口（女）【人】","注釈","A141601_60歳以上人口（男）【人】","注釈","A141602_60歳以上人口（女）【人】","注釈","A141701_70歳以上人口（男）【人】","注釈","A141702_70歳以上人口（女）【人】","注釈","A141801_80歳以上人口（男）【人】","注釈","A141802_80歳以上人口（女）【人】","注釈","A191003_将来推計人口（2030年）【人】","注釈","A191005_将来推計人口（2040年）【人】","注釈","A191007_将来推計人口（2050年）【人】","注釈","A5103_転入者数【人】","注釈","A5104_転出者数【人】","注釈","A7101_世帯数【世帯】","注釈","I5101_病院数【施設】","注釈","I510120_一般病院数【施設】","注釈","I510150_療養病床を有する病院数【施設】","注釈","I5102_一般診療所数【施設】","注釈","I510201_有床一般診療所数【施設】","注釈","J230113_養護老人ホーム在所者数（詳細票）【人】","注釈","J230133_軽費老人ホーム在所者数（詳細票）【人】","注釈","J230223_有料老人ホーム在所者数（詳細票）【人】","注釈"
"2015100000","2015年度","40131","福岡県 福岡市 東区","","293,776","","142,497","","151,279","","75,761","","85,859","","35,393","","45,185","","16,793","","25,625","","5,777","","11,576","","***","","***","","***","","***","","***","","141,682","","23","","20","","10","","203","","21","","154","","419","","1,447",""
"2015100000","2015年度","40132","福岡県 福岡市 博多区","","207,703","","99,427","","108,276","","53,466","","59,920","","23,567","","31,471","","10,498","","17,769","","3,308","","7,710","","***","","***","","***","","***","","***","","138,832","","16","","16","","5","","255","","19","","0","","181","","965",""
"2015100000","2015年度","40133","福岡県 福岡市 中央区","","183,547","","81,178","","102,369","","43,100","","54,930","","18,060","","26,019","","8,175","","14,313","","2,778","","6,189","","***","","***","","***","","***","","***","","116,186","","18","","17","","5","","360","","26","","0","","103","","504",""
"2015100000","2015年度","40134","福岡県 福岡市 南区","","249,403","","115,884","","133,519","","63,408","","78,127","","30,043","","41,414","","14,471","","23,699","","5,129","","10,407","","***","","***","","***","","***","","***","","119,637","","17","","14","","6","","223","","19","","0","","19","","1,042",""
"2015100000","2015年度","40135","福岡県 福岡市 西区","","203,206","","97,296","","105,910","","50,459","","61,265","","24,351","","32,758","","12,293","","19,135","","4,333","","8,914","","***","","***","","***","","***","","***","","88,142","","20","","15","","12","","152","","23","","117","","279","","1,027",""
"2015100000","2015年度","40136","福岡県 福岡市 城南区","","127,229","","59,872","","67,357","","31,392","","38,911","","15,396","","21,127","","7,547","","11,916","","2,621","","5,246","","***","","***","","***","","***","","***","","64,606","","9","","8","","3","","104","","15","","0","","89","","397",""
"2015100000","2015年度","40137","福岡県 福岡市 早良区","","213,792","","100,397","","113,395","","54,659","","65,843","","26,006","","34,354","","12,312","","18,902","","4,185","","8,277","","***","","***","","***","","***","","***","","95,735","","13","","13","","5","","196","","26","","0","","29","","969",""
"2014100000","2014年度","40130","福岡県 福岡市","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","114","","101","","47","","1,470","","153","","287","","1,007","","7,293",""
"2014100000","2014年度","40131","福岡県 福岡市 東区","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","21","","18","","9","","199","","22","","109","","381","","1,435",""
"2014100000","2014年度","40132","福岡県 福岡市 博多区","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","16","","16","","6","","253","","19","","0","","179","","1,242",""
"2014100000","2014年度","40133","福岡県 福岡市 中央区","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","19","","18","","5","","352","","27","","0","","105","","631",""
"2014100000","2014年度","40134","福岡県 福岡市 南区","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","16","","13","","7","","218","","18","","47","","19","","1,195",""
"2014100000","2014年度","40135","福岡県 福岡市 西区","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","20","","15","","12","","153","","25","","131","","176","","1,265",""
"2014100000","2014年度","40136","福岡県 福岡市 城南区","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","9","","8","","3","","101","","15","","0","","88","","434",""
"2014100000","2014年度","40137","福岡県 福岡市 早良区","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","13","","13","","5","","194","","27","","0","","59","","1,091",""
"2013100000","2013年度","40130","福岡県 福岡市","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","114","","101","","47","","1,470","","175","","295","","1,137","","5,370",""
"2013100000","2013年度","40131","福岡県 福岡市 東区","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","21","","18","","9","","197","","22","","109","","416","","924",""
"2013100000","2013年度","40132","福岡県 福岡市 博多区","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","16","","16","","6","","254","","26","","0","","181","","896",""
"2013100000","2013年度","40133","福岡県 福岡市 中央区","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","19","","18","","5","","365","","32","","0","","105","","451",""
"2013100000","2013年度","40134","福岡県 福岡市 南区","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","16","","13","","7","","213","","24","","49","","19","","894",""
"2013100000","2013年度","40135","福岡県 福岡市 西区","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","21","","16","","13","","149","","29","","137","","268","","957",""
"2013100000","2013年度","40136","福岡県 福岡市 城南区","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","8","","7","","2","","104","","15","","0","","87","","300",""
"2013100000","2013年度","40137","福岡県 福岡市 早良区","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","13","","13","","5","","188","","27","","0","","61","","948",""
"2012100000","2012年度","40130","福岡県 福岡市","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","115","","102","","48","","1,449","","179","","306","","1,095","","4,697",""
